dmc_office_inv_cr_ofc_cd,dml_trsp_cost_total_cntr_qty
,9075150
RICHQ,7522231
BKKBB,2864190
SGNBB,2829484
HKGBB,1681138
NBOBB,1646230
SHABB,1619356
SELBB,1535326
TYOBB,1369917
RTMBB,1281584
SOUBB,1236658
TPEBB,1200305
SINBB,829178
TAOBB,806333
RICBB,665035
HAMBB,574059
TORBB,527253
MEXBB,433314
DELBB,424860
JKTBB,395669
HPHBB,388974
CPTBB,369298
GOABB,369262
MNLBB,326808
SAOBB,301032
SYDBB,294416
SCLBB,273891
NKGBB,269422
SZPBB,222699
LEHBB,216452
MUMBB,190386
AKLBB,188990
DXBBB,176418
CMBBB,167077
PKGBB,162867
ISTBA,160236
BCNBB,159673
TSNBB,151834
DACBB,144223
VLCBB,136711
JEDBA,126379
DMNBA,113334
PANBA,104877
DLCBB,103661
DURBB,101794
JHBBB,99905
HFABA,94211
PIRBA,85516
MAABB,81166
SJOBA,77815
LOSBB,71241
XMNBB,69386
GOTBB,68287
PNHBA,62242
CANBB,58315
SALBA,57231
DUBBA,57026
MNGBA,56878
BOGBB,52209
GUABA,51867
BIOBB,51529
MRSBB,48159
NOSBB,38862
DAMBB,38531
AMDBB,34087
KHIBB,33604
CCUBB,32263
OPOBB,32079
PENBB,30658
BUEBB,29861
HELBB,29279
GYEBA,29039
AARBB,28276
ASUBA,27108
TUTBB,26700
ISTBB,25237
ALYBB,24329
PTIBA,24224
YGNBB,23344
SZHBB,21838
HNLBA,21429
VARBA,19310
LISBB,19274
TGCBA,19166
PRQBA,17943
GDYBB,17683
TEMBB,17661
LIMBB,16708
COKBB,16315
MBABA,14457
BLRBB,13682
CNDBA,13632
ABJBB,11011
MVDBB,10538
CAIBB,9433
VTZBB,9368
VTZBA,9193
DARBA,8985
DOHBA,8862
GYEBB,8657
MBABB,7747
ELSBB,7217
AMMBA,7192
DKRBA,5414
BELBA,4795
SPBBB,4748
KLPBA,4692
DUBBB,4460
RIXBA,3607
ALJBA,3568
BEYBA,3038
KINBA,2930
LMSBA,2629
KOPBA,2593
CASBA,2445
TLLBA,1633
RJKBA,1134
CASBB,1066
TUNBA,1046
SDQBA,930
MTABA,738
CGPBB,518
LUHBB,441
WVBBA,401
GINBB,280
ZHOBB,244
BEFBB,202
ODSBA,169
HYDBB,101
LFWBA,95
PLBBA,35
PSQBA,29
PLZBB,20
DAKBA,15
BEWBA,3
TBUBA,2
HREBA,1
CHIBB,1
WUHBB,0